campus_number,district_number,campus_name,district_name,teacher_total_full_time_equiv_count,support_total_full_time_equiv_count,school_admin_total_full_time_equiv_count,educ_aide_total_full_time_equiv_count,teacher_beginning_full_time_equiv_count,teacher_1-5_years_full_time_equiv_count,teacher_6-10_years_full_time_equiv_count,teacher_11-20_years_full_time_equiv_count,teacher_21-30_years_full_time_equiv_count,teacher_>_30_years_full_time_equiv_count,teacher_no_degree_full_time_equiv_count,teacher_ba_degree_full_time_equiv_count,teacher_ms_degree_full_time_equiv_count,teacher_ph_degree_full_time_equiv_count,professional_total_full_time_equiv_count,all_staff_total_full_time_equiv_count,counselor_total_part_time_equiv_count,counselor_total_full_time_equiv_count,librarian_total_part_time_equiv_count,librarian_total_full_time_equiv_count,support_total_base_salary_average,school_admin_total_base_salary_average,teacher_total_base_salary_average,teacher_beginning_base_salary_average,teacher_1-5_years_base_salary_average,teacher_6-10_years_base_salary_average,teacher_11-20_years_base_salary_average,teacher_21-30_years_base_salary_average,teacher_>_30_years_base_salary_average,teacher_american_indian_full_time_equiv_count,teacher_pacific_islander_full_time_equiv_count,teacher_asian_full_time_equiv_count,teacher_african_american_full_time_equiv_count,teacher_hispanic_full_time_equiv_count,teacher_white_full_time_equiv_count,teacher_two_or_more_races_full_time_equiv_count,teacher_male_full_time_equiv_count,teacher_female_full_time_equiv_count,teacher_tenure_average,teacher_experience_average,teacher_regular_program_full_time_equiv_count,teacher_career_&_technical_prgms_full_time_equiv_count,teacher_bilingual_program_full_time_equiv_count,teacher_compensatory_program_full_time_equiv_count,teacher_gifted_&_talented_program_full_time_equiv_count,teacher_special_education_full_time_equiv_count,teacher_other_full_time_equiv_count,contract_serv_total_full_time_equiv_count,principal_experience_average,principal_tenure_average,assistant_principal_experience_average,assistant_principal_tenure_average,all_staff_minority_full_time_equiv_count,teacher_total_full_time_equiv_percent,support_total_full_time_equiv_percent,school_admin_total_full_time_equiv_percent,educ_aide_total_full_time_equiv_percent,professional_total_full_time_equiv_percent,all_staff_minority_full_time_equiv_percent,teacher_beginning_full_time_equiv_percent,teacher_1-5_years_full_time_equiv_percent,teacher_6-10_years_full_time_equiv_percent,teacher_11-20_years_full_time_equiv_percent,teacher_21-30_years_full_time_equiv_percent,teacher_>_30_years_full_time_equiv_percent,teacher_regular_program_full_time_equiv_percent,teacher_career_&_technical_prgms_full_time_equiv_percent,teacher_bilingual_program_full_time_equiv_percent,teacher_compensatory_program_full_time_equiv_percent,teacher_gifted_&_talented_program_full_time_equiv_percent,teacher_special_education_full_time_equiv_percent,teacher_other_full_time_equiv_percent,teacher_no_degree_full_time_equiv_percent,teacher_ba_degree_full_time_equiv_percent,teacher_ms_degree_full_time_equiv_percent,teacher_ph_degree_full_time_equiv_percent,teacher_white_full_time_equiv_percent,teacher_african_american_full_time_equiv_percent,teacher_hispanic_full_time_equiv_percent,teacher_pacific_islander_full_time_equiv_percent,teacher_american_indian_full_time_equiv_percent,teacher_asian_full_time_equiv_percent,teacher_two_or_more_races_full_time_equiv_percent,teacher_male_full_time_equiv_percent,teacher_female_full_time_equiv_percent,teacher_student_ratio
57903010,57903,EARLY COLLEGE H S,CARROLLTON-FARMERS BRANCH ISD,16.5,1.0,0.5,1.0,0.0,4.0,0.0,7.0,4.0,1.5,1.0,8.0,5.5,2.0,18.0,19.0,0,1,0,0,86766,131731,64839,.,62204,.,54918,73677,93940,0.0,0.0,2.0,3.0,4.0,7.5,0.0,9.5,7.0,9.9,16.9,10.8,0.1,0.0,0.0,0.7,1.0,3.9,0.0,7.0,7.0,0.0,0.0,9.0,87.0,5.3,2.5,5.3,94.7,47.4,0.0,24.2,0.0,42.3,24.2,9.3,65.5,0.8,0.0,0.0,4.0,6.0,23.7,6.0,48.4,33.5,12.1,45.6,18.1,24.2,0.0,0.0,12.1,0.0,57.7,42.3,21.5
57904001,57904,CEDAR HILL H S,CEDAR HILL ISD,141.3,12.4,8.9,13.8,18.3,50.7,29.3,32.6,6.4,4.0,7.0,85.6,45.4,3.3,162.6,176.4,0,7,1,0,75572,88689,62117,54879,59197,62179,66699,72413,77923,0.0,0.0,2.0,93.7,4.7,35.8,5.0,68.8,72.5,4.4,8.2,101.4,20.7,0.0,4.4,0.0,5.3,9.5,0.0,4.7,2.0,4.0,1.8,127.3,80.1,7.0,5.0,7.8,92.2,72.1,12.9,35.9,20.8,23.1,4.5,2.8,71.8,14.6,0.0,3.1,0.0,3.7,6.7,5.0,60.6,32.2,2.3,25.4,66.4,3.3,0.0,0.0,1.4,3.5,48.7,51.3,14.7
57904003,57904,CEDAR HILL COLLEGIATE H S,CEDAR HILL ISD,14.6,1.0,3.3,0.0,2.4,6.0,1.4,3.3,0.9,0.5,0.0,9.3,5.3,0.0,18.9,18.9,0,1,0,0,80010,87208,62218,53136,61243,63247,67025,70040,68934,0.0,0.0,0.0,7.1,1.9,5.6,0.0,9.5,5.1,3.5,7.5,4.7,1.5,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,8.3,7.0,12.6,77.1,5.3,17.6,0.0,100.0,66.5,16.7,41.3,9.5,22.6,6.4,3.5,32.4,10.6,0.0,0.0,0.0,0.0,57.0,0.0,63.9,36.1,0.0,38.5,48.7,12.9,0.0,0.0,0.0,0.0,65.0,35.0,20
57905001,57905,BRYAN ADAMS H S LEADERSHIP ACADEMY,DALLAS ISD,143.8,13.9,7.6,13.9,10.0,59.3,39.5,21.7,11.2,2.0,5.2,109.4,27.1,2.0,165.2,179.1,0,6,0,1,74521,94631,68674,61000,65600,71258,72923,73541,73663,2.0,0.0,7.2,32.1,47.0,53.4,2.0,70.6,73.2,6.6,8.3,72.6,15.1,12.6,0.0,5.3,15.6,22.5,0.0,1.0,1.0,4.7,4.7,117.7,80.3,7.8,4.2,7.7,92.3,65.7,7.0,41.3,27.5,15.1,7.8,1.4,50.5,10.5,8.8,0.0,3.7,10.9,15.6,3.6,76.1,18.9,1.4,37.1,22.3,32.7,0.0,1.4,5.0,1.4,49.1,50.9,15.6
57905002,57905,W H ADAMSON H S,DALLAS ISD,98.6,9.0,5.2,8.9,7.0,39.7,24.6,20.8,6.5,0.0,8.5,71.9,17.2,1.0,112.8,121.7,0,4,0,0,77640,98433,67571,61000,63920,68934,74071,71034,.,2.0,0.0,2.0,29.5,35.7,25.4,4.1,54.3,44.3,6.2,8.3,46.4,12.8,12.3,0.0,1.8,10.6,14.7,0.0,7.0,7.0,4.5,4.5,87.2,81.0,7.4,4.3,7.3,92.7,71.7,7.1,40.3,25.0,21.1,6.6,0.0,47.0,13.0,12.5,0.0,1.8,10.8,14.9,8.6,72.9,17.4,1.0,25.8,29.9,36.2,0.0,2.0,2.0,4.1,55.1,44.9,14.2
57905003,57905,NEW TECH H S AT B F DARRELL H S,DALLAS ISD,25.1,2.9,2.0,2.0,6.0,10.0,5.0,3.1,1.0,0.0,0.0,18.0,6.1,1.0,30.0,32.0,0,1,0,0,82071,116500,66786,61000,63885,71453,74613,82556,.,0.0,0.0,1.0,8.0,6.1,9.0,1.0,12.0,13.1,4.4,5.5,11.6,4.1,0.5,0.0,0.4,2.5,6.1,0.0,3.0,3.0,10.0,3.0,22.0,78.6,8.9,6.3,6.2,93.8,68.7,23.9,39.8,19.9,12.5,4.0,0.0,46.2,16.4,1.8,0.0,1.7,9.8,24.1,0.0,71.6,24.4,4.0,35.8,31.8,24.4,0.0,0.0,4.0,4.0,47.7,52.3,17
57905005,57905,MOISES E MOLINA H S,DALLAS ISD,137.4,16.0,8.0,20.3,12.0,52.9,34.4,19.3,15.9,3.0,4.2,101.7,27.4,4.1,161.4,181.8,0,8,0,1,76207,100562,67518,61814,64441,69041,70986,72514,78292,1.0,1.0,7.0,49.1,47.6,31.5,0.3,56.7,80.8,7.3,9.1,70.9,14.5,9.6,0.0,3.7,22.6,16.2,0.0,2.0,2.0,7.0,6.8,144.0,75.6,8.8,4.4,11.2,88.8,79.2,8.7,38.5,25.0,14.0,11.6,2.2,51.6,10.5,7.0,0.0,2.7,16.5,11.8,3.1,74.0,20.0,3.0,22.9,35.7,34.6,0.7,0.7,5.1,0.2,41.2,58.8,14.7
57905006,57905,HILLCREST H S,DALLAS ISD,105.8,11.0,5.6,11.9,9.0,34.7,25.5,27.9,6.4,2.2,2.4,77.4,24.1,2.0,122.4,134.3,0,5,0,1,75171,101876,67810,55889,65679,70549,71170,68824,72726,0.0,0.0,7.0,31.8,24.9,40.1,2.0,52.2,53.6,5.9,9.2,52.6,14.8,9.1,0.0,2.1,8.4,18.8,0.0,2.0,2.0,5.3,4.8,87.2,78.8,8.2,4.2,8.8,91.2,64.9,8.5,32.8,24.1,26.4,6.1,2.1,49.7,14.0,8.6,0.0,2.0,8.0,17.7,2.2,73.1,22.8,1.9,37.9,30.1,23.5,0.0,0.0,6.6,1.9,49.4,50.6,15.1
57905007,57905,THOMAS JEFFERSON H S,DALLAS ISD,103.7,16.0,5.6,18.4,7.0,36.9,27.3,16.3,10.9,5.3,1.7,73.5,25.5,3.0,125.2,143.6,0,7,0,0,76946,99018,70127,61000,65300,72976,75466,76081,72440,1.0,0.0,6.0,16.9,28.1,49.7,2.0,52.0,51.7,7.2,9.9,55.4,9.0,14.2,0.0,3.0,8.4,13.6,0.0,3.0,3.0,5.6,4.2,84.9,72.2,11.1,3.9,12.8,87.2,59.1,6.7,35.6,26.3,15.7,10.5,5.1,53.5,8.7,13.7,0.0,2.9,8.1,13.1,1.7,70.8,24.6,2.9,48.0,16.3,27.1,0.0,1.0,5.8,1.9,50.1,49.9,14.3
57905008,57905,JUSTIN F KIMBALL H S,DALLAS ISD,83.8,8.6,7.0,9.9,8.0,29.0,16.9,12.4,10.5,7.0,5.5,57.3,19.0,2.1,99.4,109.3,0,4,0,1,80537,101156,67300,61000,63687,68240,72163,70661,73512,1.0,0.0,1.0,62.8,12.8,6.0,0.2,45.7,38.1,8.5,11.1,41.0,9.2,9.1,0.0,1.2,11.5,11.8,0.0,7.0,7.0,11.2,10.6,100.5,76.6,7.9,6.4,9.0,91.0,92.0,9.5,34.6,20.1,14.8,12.6,8.4,48.9,11.0,10.9,0.0,1.4,13.7,14.1,6.5,68.3,22.7,2.5,7.1,74.9,15.3,0.0,1.2,1.2,0.2,54.5,45.5,15
57905009,57905,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,DALLAS ISD,48.0,10.8,4.6,9.9,2.0,17.3,8.2,8.8,8.7,3.0,0.1,34.7,13.1,0.1,63.3,73.2,0,4,0,0,77072,98587,69294,61000,64468,68968,69740,79066,73989,0.0,0.0,0.3,37.1,4.3,6.4,0.0,25.5,22.5,11.1,12.4,27.7,6.8,1.6,0.0,0.4,5.7,6.0,0.0,2.0,2.0,11.0,11.0,66.8,65.6,14.7,6.2,13.5,86.5,91.3,4.2,36.1,17.1,18.3,18.1,6.2,57.7,14.1,3.3,0.0,0.8,11.8,12.4,0.2,72.2,27.3,0.2,13.3,77.2,8.9,0.0,0.0,0.5,0.0,53.1,46.9,13.7
57905012,57905,DR L G PINKSTON SR H S,DALLAS ISD,74.7,10.0,5.1,10.9,13.0,31.4,13.1,11.3,4.8,1.1,2.9,50.7,18.0,3.2,89.8,100.7,0,4,0,1,74817,94090,67301,61614,65985,68567,73932,70366,75434,0.0,1.0,2.0,44.5,13.9,12.2,1.1,42.1,32.6,6.3,8.6,40.5,5.3,3.8,0.0,2.3,11.4,11.5,0.0,4.0,4.0,3.5,3.5,85.4,74.2,9.9,5.1,10.8,89.2,84.8,17.4,42.0,17.6,15.1,6.4,1.5,54.1,7.1,5.0,0.0,3.1,15.2,15.4,3.9,67.8,24.1,4.2,16.3,59.5,18.7,1.3,0.0,2.7,1.5,56.4,43.6,16.4
57905013,57905,FRANKLIN D ROOSEVELT H S OF INNOVATION,DALLAS ISD,57.0,11.7,6.0,9.9,15.0,14.0,9.2,16.3,1.4,1.0,3.8,40.1,12.1,1.0,74.7,84.6,0,3,0,0,78663,101758,65958,61167,62223,67599,71948,68244,74135,0.0,0.0,5.0,40.6,6.3,4.8,0.2,20.1,36.8,6.5,9.0,31.3,5.8,4.6,0.0,1.0,9.2,5.1,0.0,5.0,1.0,6.0,6.0,78.8,67.4,13.9,7.1,11.7,88.3,93.2,26.3,24.6,16.2,28.7,2.4,1.8,55.0,10.1,8.1,0.0,1.8,16.2,8.9,6.6,70.4,21.2,1.8,8.4,71.3,11.1,0.0,0.0,8.8,0.4,35.3,64.7,11.9
57905014,57905,W W SAMUELL H S,DALLAS ISD,125.7,13.0,7.0,22.8,11.0,45.3,34.4,21.8,10.3,3.0,5.3,85.7,30.7,4.0,145.7,168.4,0,7,0,0,77685,93571,68062,61000,63293,69981,75550,71081,79268,1.0,0.0,6.3,57.9,23.3,35.2,2.0,62.8,62.9,7.2,9.3,61.2,13.7,13.7,0.0,2.6,16.3,18.1,0.0,2.0,2.0,5.6,4.6,126.2,74.6,7.7,4.2,13.5,86.5,74.9,8.8,36.0,27.3,17.3,8.2,2.4,48.7,10.9,10.9,0.0,2.1,13.0,14.4,4.2,68.2,24.4,3.2,28.0,46.1,18.5,0.0,0.8,5.0,1.6,49.9,50.1,14.9
57905015,57905,SEAGOVILLE H S,DALLAS ISD,121.4,11.9,8.0,20.8,11.0,39.2,30.4,26.5,10.4,4.0,4.0,78.4,34.0,5.1,141.3,162.1,0,7,0,1,78635,96837,67632,61498,64223,70229,69172,73028,73987,0.0,1.0,5.0,59.9,23.2,28.0,4.3,58.6,62.9,7.1,9.6,60.8,10.9,17.0,0.0,1.7,15.7,15.4,0.0,5.0,5.0,5.7,4.7,124.8,74.9,7.3,4.9,12.8,87.2,77.0,9.0,32.3,25.0,21.8,8.6,3.3,50.1,9.0,14.0,0.0,1.4,12.9,12.7,3.3,64.6,28.0,4.2,23.1,49.3,19.1,0.8,0.0,4.1,3.5,48.2,51.8,15
57905016,57905,SOUTH OAK CLIFF H S,DALLAS ISD,104.2,11.7,6.3,11.9,12.0,30.5,31.1,20.3,6.6,3.7,5.8,72.7,23.4,2.4,122.2,134.1,0,5,0,0,76296,97653,67341,53376,63861,68410,72637,78382,83500,0.0,1.0,2.2,78.3,11.9,10.5,0.3,53.8,50.4,7.3,9.3,65.1,8.7,4.6,0.0,2.8,5.5,17.5,0.0,14.0,14.0,6.4,6.4,122.2,77.7,8.7,4.7,8.9,91.1,91.2,11.5,29.2,29.8,19.5,6.3,3.6,62.5,8.4,4.4,0.0,2.7,5.3,16.8,5.5,69.8,22.5,2.3,10.1,75.1,11.4,1.0,0.0,2.1,0.3,51.6,48.4,14.8
57905017,57905,H GRADY SPRUCE H S,DALLAS ISD,101.7,12.1,8.0,17.8,8.0,35.2,31.4,13.6,13.4,0.0,4.2,66.8,26.7,4.0,121.8,139.6,0,5,0,1,73862,100791,68001,55250,63570,71664,73040,73553,.,0.0,0.0,5.3,59.2,14.4,21.9,1.0,50.7,50.9,7.1,9.1,52.5,13.0,12.5,0.0,2.6,10.5,10.6,0.0,10.0,10.0,3.7,3.7,110.6,72.8,8.7,5.7,12.8,87.2,79.2,7.9,34.6,30.9,13.4,13.1,0.0,51.6,12.8,12.3,0.0,2.5,10.4,10.4,4.2,65.7,26.2,3.9,21.5,58.2,14.1,0.0,0.0,5.2,1.0,49.9,50.1,14.3
57905018,57905,SUNSET H S,DALLAS ISD,132.3,15.0,9.1,10.9,14.0,46.9,34.6,24.1,8.6,4.0,0.4,101.3,29.5,1.1,156.4,167.3,0,8,0,1,76682,97471,68412,61429,64838,70943,73858,71495,73355,2.0,0.0,14.0,38.7,47.0,28.3,2.3,68.8,63.6,6.8,9.0,64.9,13.0,11.0,0.0,3.8,14.4,25.2,0.0,6.0,6.0,3.9,3.9,131.7,79.1,9.0,5.4,6.5,93.5,78.7,10.6,35.5,26.2,18.2,6.5,3.0,49.1,9.8,8.3,0.0,2.9,10.9,19.1,0.3,76.6,22.3,0.8,21.4,29.3,35.5,0.0,1.5,10.6,1.7,52.0,48.0,16.2
57905021,57905,W T WHITE H S,DALLAS ISD,137.1,13.0,8.2,13.9,14.0,55.3,26.4,27.4,10.3,3.7,0.5,100.3,35.4,1.0,158.3,172.2,0,7,0,0,78082,95843,66001,57715,63953,69369,70476,70467,58253,0.0,0.0,4.0,47.9,27.5,53.7,4.0,66.2,70.9,6.7,8.7,74.4,16.1,10.1,0.0,3.3,15.6,17.7,0.0,6.0,6.0,6.4,6.4,101.4,79.6,7.6,4.8,8.0,92.0,58.9,10.2,40.3,19.3,20.0,7.5,2.7,54.2,11.7,7.3,0.0,2.4,11.4,12.9,0.4,73.1,25.8,0.7,39.2,34.9,20.1,0.0,0.0,2.9,2.9,48.3,51.7,15.1
57905022,57905,WOODROW WILSON H S,DALLAS ISD,118.6,10.0,8.0,15.8,10.0,40.2,35.6,24.8,4.0,4.0,4.2,80.4,34.0,0.0,136.7,152.5,0,4,0,1,77574,101262,68469,57420,66526,69983,73012,68992,73474,1.0,0.0,6.0,21.8,28.5,60.3,1.0,62.7,56.0,6.1,8.8,68.2,8.0,4.5,0.0,4.6,18.1,15.2,0.0,9.0,9.0,6.7,6.7,84.2,77.8,6.6,5.2,10.4,89.6,55.2,8.4,33.9,30.0,20.9,3.4,3.4,57.5,6.8,3.8,0.0,3.9,15.2,12.8,3.6,67.7,28.7,0.0,50.8,18.4,24.1,0.0,0.8,5.1,0.8,52.8,47.2,15.1
57905023,57905,DAVID W CARTER H S,DALLAS ISD,73.2,10.8,6.0,18.8,7.0,21.7,13.8,17.3,10.5,3.0,3.3,48.5,19.2,2.2,90.0,108.8,0,5,0,1,80206,99075,68163,61000,63308,72541,69299,73159,75874,0.0,0.0,2.0,62.2,3.0,5.8,0.2,32.6,40.7,8.6,11.2,35.7,7.6,3.8,0.0,2.5,15.1,8.5,0.0,14.0,14.0,7.0,7.0,100.8,67.3,9.9,5.5,17.3,82.7,92.7,9.6,29.6,18.8,23.6,14.3,4.1,48.8,10.4,5.2,0.0,3.4,20.6,11.6,4.5,66.3,26.2,3.1,7.9,84.9,4.2,0.0,0.0,2.7,0.3,44.5,55.5,14.4
57905024,57905,NORTH DALLAS H S,DALLAS ISD,83.4,10.0,5.6,13.9,6.0,39.0,18.5,16.4,2.4,1.1,2.4,59.0,21.0,1.0,99.0,112.8,0,4,0,0,76352,104077,67937,57131,64650,72994,71136,82293,78620,0.0,0.0,5.0,30.9,25.8,20.8,1.0,42.6,40.8,5.5,7.5,49.1,9.6,6.1,0.0,3.8,7.8,7.0,0.0,6.0,6.0,7.3,7.3,83.1,73.9,8.9,5.0,12.3,87.7,73.7,7.2,46.7,22.2,19.7,2.9,1.4,58.9,11.5,7.3,0.0,4.6,9.4,8.3,2.9,70.8,25.2,1.2,24.9,37.0,30.9,0.0,0.0,6.0,1.2,51.1,48.9,15.3
57905025,57905,SKYLINE H S,DALLAS ISD,248.8,18.5,14.0,25.7,17.0,86.4,45.5,53.3,30.6,16.0,12.0,157.4,68.2,11.2,281.3,307.0,0,9,0,1,77536,96422,69749,61463,65883,71786,72553,74048,76065,2.0,2.0,22.0,98.7,50.9,65.2,8.0,121.2,127.6,9.0,11.3,116.4,52.5,14.8,0.0,4.4,25.9,34.8,0.0,5.0,2.0,4.8,4.7,227.8,81.0,6.0,4.6,8.4,91.6,74.2,6.8,34.7,18.3,21.4,12.3,6.4,46.8,21.1,5.9,0.0,1.8,10.4,14.0,4.8,63.3,27.4,4.5,26.2,39.7,20.4,0.8,0.8,8.8,3.2,48.7,51.3,15.2
57905028,57905,EMMETT J CONRAD H S,DALLAS ISD,90.7,10.7,5.0,11.9,6.0,30.1,23.6,20.5,10.4,0.1,5.0,66.5,18.2,1.0,106.4,118.3,0,5,0,0,75724,107502,70790,61000,65280,73081,76188,76436,77250,0.0,0.0,10.0,27.0,14.6,35.9,3.2,41.0,49.7,7.3,9.9,42.9,11.7,9.2,0.0,1.1,10.8,14.9,0.0,3.0,3.0,5.0,5.0,71.5,76.7,9.1,4.2,10.0,90.0,60.4,6.6,33.2,26.0,22.6,11.5,0.2,47.3,12.9,10.1,0.0,1.3,11.9,16.5,5.5,73.3,20.1,1.1,39.6,29.8,16.1,0.0,0.0,11.0,3.5,45.2,54.8,14.1
57905029,57905,BARBARA M MANNS H S DAEP,DALLAS ISD,17.9,4.0,5.0,2.0,1.0,1.0,1.0,1.0,7.0,6.9,1.0,7.0,9.9,0.0,26.9,28.9,0,2,0,0,80076,103654,73077,61000,61500,72045,93180,72628,74193,0.0,0.0,1.0,10.9,3.0,3.0,0.0,9.9,8.0,18.4,24.8,12.5,1.0,2.6,0.0,0.0,1.8,0.0,0.0,12.0,12.0,15.8,14.8,25.9,62.0,13.8,17.3,6.8,93.2,89.6,5.6,5.6,5.6,5.6,39.1,38.6,69.9,5.6,14.3,0.0,0.0,10.3,0.0,5.6,39.1,55.4,0.0,16.7,60.9,16.7,0.0,0.0,5.6,0.0,55.4,44.6,13.2
57905032,57905,JAMES MADISON H S,DALLAS ISD,37.7,6.7,3.5,1.0,0.0,8.1,14.2,6.4,7.5,1.5,2.0,18.4,16.2,1.1,47.9,48.9,0,2,0,0,75059,110985,69875,.,68133,67515,68702,76463,73613,0.0,0.0,1.1,29.2,2.2,4.1,1.0,21.7,16.0,9.8,12.4,17.5,4.9,3.8,0.0,0.8,4.8,5.8,0.0,20.0,20.0,11.0,11.0,43.8,77.1,13.8,7.1,2.0,98.0,89.5,0.0,21.6,37.6,16.8,19.9,4.0,46.5,13.0,10.0,0.0,2.2,12.8,15.5,5.3,48.7,43.0,3.0,11.0,77.5,5.9,0.0,0.0,2.9,2.7,57.5,42.5,10.3
57905037,57905,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,DALLAS ISD,17.1,0.9,1.0,0.0,1.0,9.0,2.1,3.0,2.0,0.0,0.0,12.0,3.1,2.0,19.0,19.0,0,1,0,0,75109,132000,67691,61000,62711,72338,74193,78810,.,0.0,0.0,1.0,4.0,6.0,5.1,1.0,6.0,11.1,6.2,7.7,4.1,2.5,0.0,0.0,0.2,0.0,10.3,0.0,10.0,10.0,0.0,0.0,12.0,90.0,4.7,5.3,0.0,100.0,63.2,5.8,52.6,12.3,17.5,11.7,0.0,23.9,14.5,0.0,0.0,1.3,0.0,60.3,0.0,70.2,18.1,11.7,29.8,23.4,35.1,0.0,0.0,5.8,5.8,35.1,64.9,10
57905090,57905,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,DALLAS ISD,14.0,4.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,0.0,8.0,6.0,0.0,20.0,21.0,0,2,0,0,79404,110000,77995,.,75094,73315,81878,79313,78810,0.0,0.0,0.0,5.0,3.0,5.0,1.0,4.0,10.0,14.6,16.5,4.9,0.7,0.0,0.0,3.0,0.0,5.3,0.0,2.0,2.0,9.0,9.0,11.0,66.7,19.1,9.5,4.7,95.3,52.4,0.0,7.1,28.6,28.6,28.6,7.1,35.2,5.1,0.0,0.0,21.6,0.0,38.1,0.0,57.1,42.9,0.0,35.7,35.7,21.4,0.0,0.0,0.0,7.1,28.6,71.4,20.5
57905307,57905,H S THOMPSON LEARNING CENTER,DALLAS ISD,37.0,4.0,4.0,6.5,8.0,12.0,8.0,8.0,1.0,0.0,3.0,26.0,7.0,1.0,45.0,51.5,0,2,0,1,74212,91602,66534,61000,64048,69124,70950,84607,.,0.0,0.0,1.0,26.0,9.0,1.0,0.0,11.0,26.0,3.9,5.9,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,7.5,7.5,50.5,71.9,7.7,7.8,12.6,87.4,98.1,21.6,32.4,21.6,21.6,2.7,0.0,94.6,0.0,0.0,0.0,0.0,5.4,0.0,8.1,70.3,18.9,2.7,2.7,70.3,24.3,0.0,0.0,2.7,0.0,29.7,70.3,13.1
57905380,57905,WILMER-HUTCHINS H S,DALLAS ISD,63.8,9.8,6.5,7.9,10.0,21.4,12.1,9.3,7.9,3.0,6.0,37.3,20.3,0.2,80.0,87.9,0,5,0,0,78895,94670,67399,63004,64290,67412,70740,74674,74680,0.0,0.0,1.0,47.4,10.2,4.0,1.2,33.0,30.7,8.5,10.1,29.2,9.8,5.9,0.0,1.6,7.8,9.5,0.0,5.0,5.0,7.2,4.2,81.7,72.5,11.1,7.4,9.0,91.0,92.9,15.7,33.6,19.0,14.6,12.4,4.7,45.8,15.4,9.3,0.0,2.5,12.2,14.9,9.4,58.5,31.8,0.3,6.3,74.3,16.0,0.0,0.0,1.6,1.9,51.8,48.2,14.9
57905383,57905,CITYLAB H S,DALLAS ISD,16.6,2.8,2.0,2.0,1.0,7.8,4.6,1.7,1.5,0.0,0.0,14.4,2.2,0.0,21.4,23.3,0,1,1,0,76195,95662,67221,61000,64422,71231,69146,71406,.,0.0,0.0,1.0,3.0,4.7,7.8,0.0,10.5,6.1,7.3,9.0,4.2,3.6,0.0,0.0,2.1,1.0,5.8,0.0,0.0,0.0,11.5,5.5,15.5,71.0,11.9,8.6,8.5,91.5,66.4,6.0,46.9,27.8,10.2,9.1,0.0,25.1,21.6,0.0,0.0,12.4,6.0,34.9,0.0,86.6,13.4,0.0,47.3,18.1,28.6,0.0,0.0,6.0,0.0,63.5,36.5,11.5
57905387,57905,NORTH LAKE EARLY COLLEGE H S,DALLAS ISD,16.0,2.0,2.0,1.0,0.0,7.0,3.0,4.0,2.0,0.0,0.0,8.0,7.0,1.0,20.0,21.0,0,2,0,0,82931,99000,72953,.,68239,78545,77484,72000,.,0.0,0.0,3.0,2.0,4.0,7.0,0.0,6.0,10.0,5.1,9.8,2.1,1.0,0.0,0.0,3.7,1.0,8.2,0.0,2.0,2.0,1.0,1.0,12.0,76.2,9.5,9.5,4.7,95.3,57.1,0.0,43.7,18.7,25.0,12.5,0.0,13.3,6.2,0.0,0.0,23.1,6.2,51.0,0.0,50.0,43.8,6.2,43.8,12.5,25.0,0.0,0.0,18.7,0.0,37.5,62.5,17.7
57906001,57906,DESOTO H S,DESOTO ISD,126.0,11.7,7.1,21.7,12.1,41.9,19.5,32.6,17.3,2.7,2.2,74.3,45.6,4.0,144.8,166.5,1,7,0,0,67728,94044,61327,40702,57547,62687,65347,72260,84157,1.0,0.0,0.0,103.8,7.9,12.2,1.0,62.4,63.6,5.8,10.3,97.4,6.2,0.0,0.0,0.6,16.7,5.0,0.0,4.0,1.5,7.3,5.9,149.3,75.6,7.0,4.3,13.0,87.0,89.6,9.6,33.2,15.4,25.9,13.7,2.1,77.4,4.9,0.0,0.0,0.5,13.3,3.9,1.7,59.0,36.2,3.2,9.7,82.4,6.3,0.0,0.8,0.0,0.8,49.5,50.5,16.2
57907001,57907,DUNCANVILLE H S,DUNCANVILLE ISD,239.5,31.8,16.1,34.8,39.2,51.7,57.6,57.7,28.3,4.9,21.2,138.4,76.9,3.0,287.4,322.2,0,17,0,2,74572,92817,61975,51669,60036,62043,63374,71632,91483,2.0,12.9,5.0,115.7,33.3,70.7,0.0,123.3,116.2,5.3,10.1,136.4,51.5,1.0,1.5,0.0,21.5,27.6,0.0,3.5,3.5,6.5,3.7,243.8,74.3,9.9,5.0,10.8,89.2,75.7,16.4,21.6,24.1,24.1,11.8,2.1,57.0,21.5,0.4,0.6,0.0,9.0,11.5,8.9,57.8,32.1,1.3,29.5,48.3,13.9,5.4,0.8,2.1,0.0,51.5,48.5,19.2
57907004,57907,MARY E SMITHEY PACE H S,DUNCANVILLE ISD,9.9,1.0,2.0,1.0,0.9,1.0,4.0,1.0,3.0,0.0,2.0,4.9,3.0,0.0,12.9,13.9,0,1,0,0,57196,90278,57023,6533,61600,58896,62600,66433,.,0.0,0.0,0.0,4.9,1.0,4.0,0.0,5.9,4.0,7.9,11.6,6.9,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,9.9,71.2,7.2,14.4,7.2,92.8,71.2,9.2,10.1,40.3,10.1,30.3,0.0,69.4,20.5,0.0,0.0,0.0,10.1,0.0,20.2,49.5,30.3,0.0,40.4,49.5,10.1,0.0,0.0,0.0,0.0,59.6,40.4,8.3
57909002,57909,GARLAND H S,GARLAND ISD,151.1,15.7,6.0,14.4,3.0,34.8,34.3,48.4,26.7,3.9,4.0,85.3,60.9,1.0,172.8,187.3,0,6,0,1,81146,104494,69448,62739,64846,66680,71799,74659,75248,0.0,0.0,6.0,32.8,19.3,89.2,3.8,71.7,79.5,8.8,12.7,99.5,20.7,0.4,2.7,7.5,13.9,6.4,0.0,6.0,4.0,5.8,5.8,77.1,80.7,8.4,3.2,7.7,92.3,41.2,2.0,23.0,22.7,32.0,17.7,2.6,65.9,13.7,0.3,1.8,5.0,9.2,4.2,2.6,56.4,40.3,0.7,59.0,21.7,12.8,0.0,0.0,4.0,2.5,47.4,52.6,16.2
57909003,57909,S GARLAND H S,GARLAND ISD,134.2,15.5,6.8,18.3,10.7,41.0,27.7,40.6,11.2,3.0,6.8,86.2,37.3,3.9,156.5,174.9,0,8,0,1,82215,96396,67965,65139,65086,66546,70358,72962,79490,0.0,1.0,5.0,37.8,25.7,62.6,2.1,57.1,77.1,6.3,10.0,84.1,23.2,2.3,5.7,0.0,13.2,5.5,0.0,5.0,5.0,8.5,6.0,98.4,76.7,8.9,3.9,10.5,89.5,56.3,8.0,30.6,20.6,30.3,8.3,2.2,62.7,17.3,1.7,4.3,0.0,9.9,4.1,5.1,64.2,27.8,2.9,46.7,28.2,19.2,0.7,0.0,3.7,1.5,42.5,57.5,14.7
